Trial,Coherence,Practice,Block,Target_Direction,Distractor_Direction,RT,Acc,Congruency
1,20,1,3,2,2,2.82872728808024,1,1
2,40,1,3,2,2,0.683566946463543,1,1
3,80,1,3,2,2,0.449516216394841,1,1
4,10,1,3,2,1,0.992519424056809,0,0
5,90,1,3,2,2,0.416339338843954,1,1
6,60,1,3,1,1,0.479174011620216,1,1
7,80,1,3,1,1,0.445236085605757,1,1
8,10,1,3,2,2,0.847669059031432,1,1
9,10,1,3,1,1,0.621824228477635,1,1
10,20,1,3,1,1,0.98529613951041,1,1
11,90,1,3,1,1,0.483309438552624,1,1
12,80,1,3,1,2,0.537184741357123,1,0
13,10,1,3,1,2,5.49948920621091,1,0
14,90,1,3,2,1,0.588028480317462,1,0
15,60,1,3,2,1,0.665405710280993,1,0
16,20,1,3,1,2,0.580289891262964,1,0
17,90,1,3,1,2,0.560911843595477,1,0
18,40,1,3,1,2,0.629031996151753,1,0
19,60,1,3,1,2,0.46743026519016,1,0
20,80,1,3,2,1,0.509658892232437,1,0
21,20,1,3,2,1,0.932396234523821,1,0
22,40,1,3,2,1,0.60893981149502,1,0
23,40,1,3,1,1,0.617318922609229,1,1
24,60,1,3,2,2,0.511386677935207,1,1
1,10,0,4,2,1,0.579046737180761,1,0
2,10,0,4,2,2,1.5100063980035,1,1
3,80,0,4,2,1,0.48732975194298,1,0
4,40,0,4,1,1,0.624738874492778,1,1
5,20,0,4,2,2,1.21166457429445,1,1
6,10,0,4,1,2,0.633255472313522,1,0
7,20,0,4,1,1,0.912274098694979,1,1
8,10,0,4,2,1,1.92485756052383,1,0
9,40,0,4,2,2,0.750465235529646,1,1
10,40,0,4,2,1,0.712661082276554,1,0
11,60,0,4,1,1,0.566246760853119,1,1
12,80,0,4,2,2,0.460205537214279,1,1
13,90,0,4,1,2,0.480258388403399,1,0
14,20,0,4,1,2,6.91332419401579,1,0
15,10,0,4,1,2,0.983813736906995,0,0
16,40,0,4,1,2,0.707927714469406,1,0
17,40,0,4,2,1,0.583334085119532,1,0
