Trial,Coherence,Practice,Block,Target_Direction,Distractor_Direction,RT,Acc,Congruency
1,60,1,3,2,1,2.64229889570265,1,0
2,10,1,3,2,2,2.11111716550454,0,1
3,40,1,3,2,1,1.37901084522287,1,0
4,10,1,3,2,1,2.1171225624953,1,0
5,80,1,3,2,1,0.801490631768274,1,0
6,20,1,3,2,1,1.03438542653771,0,0
7,10,1,3,1,2,1.1991246309326,0,0
8,20,1,3,1,1,0.970585751742647,1,1
9,80,1,3,2,2,0.910982493340498,0,1
10,60,1,3,1,1,0.986826882758123,1,1
11,90,1,3,2,2,0.795741804736963,1,1
12,40,1,3,1,1,1.2247170332862,1,1
13,80,1,3,1,2,1.4652151037792,1,0
14,90,1,3,1,1,0.723775194195696,1,1
15,40,1,3,2,2,1.45046395498798,1,1
16,40,1,3,1,2,1.52662229076918,1,0
17,20,1,3,1,2,1.31245529872899,1,0
18,20,1,3,2,2,1.41841400070871,1,1
19,90,1,3,1,2,0.810066419503073,1,0
20,80,1,3,1,1,0.920869277786096,0,1
21,60,1,3,1,2,1.23760290764858,1,0
22,10,1,3,1,1,1.16346068489383,1,1
23,90,1,3,2,1,1.19049724051979,1,0
24,60,1,3,2,2,1.29461231954406,1,1
1,20,0,4,1,2,0.894883540333467,1,0
2,60,0,4,1,1,1.19503538933327,1,1
3,20,0,4,2,2,1.41435723631935,1,1
4,40,0,4,2,2,0.931334156570529,1,1
5,80,0,4,1,2,1.15419493687523,1,0
6,40,0,4,1,2,0.995368749851195,1,0
7,60,0,4,1,2,0.820698736347822,1,0
8,80,0,4,1,1,0.686511204276712,1,1
9,20,0,4,1,2,1.22076094824797,0,0
10,80,0,4,1,1,0.819444394325274,1,1
11,10,0,4,1,1,2.74595063319748,0,1
12,20,0,4,2,1,2.67970253762496,1,0
13,20,0,4,2,1,1.66657380590323,1,0
14,60,0,4,2,2,0.804922751151707,1,1
15,80,0,4,1,2,0.70733919992017,1,0
16,60,0,4,1,1,1.20478216091806,1,1
17,60,0,4,1,2,2.16567526975928,1,0
